,tweet
42,@goodclimate Great idea. Sherry must go really well with the nuttiness of sprouts. Definitely going to try that.
43,@itelNigeria I have one of this already. Using it now.  Great smartphone @itelNigeria
44,Great new podcast from @theNASEM. Anyone who is a mentor or who gets mentored should listen! #AcademicChatter #PhD
45,"@WhiskeyGary69 I mean their whole aesthetic can be traced back to major black neighborhoods from before the great migration. Zoot suits, the cars, Pendleton’s and Cortez sneakers. Never been to a car show that wasn’t bumpin Black oldies I could go all day and they love sayin the N word lol"
46,@LillianRhaine Great photo!
47,@yrimdoII @rinacvlt great minds think alike  https://t.co/s3mrNLjwWR
48,@InvictaPanthers @LeylandOli Looks great 🔥🔥🔥
49,@phoeberryyt Happy Birthday! I hope you have a great day!
50,Best 40 minutes of defense #Gophers have played under @CoachPitinoMN great adjustments at halftime to get them to play offense the right way. Robbins competitiveness was off the charts. Great win.
51,I haven’t had a great conversation in a whiiile
52,"@DonOfTheDeadMk4 That album has ""Emerald"" which is s great song but my favorite song is ""Dancing in The Moonlight""."
53, https://t.co/qc0TiD1UK4
54,Mocha midsize SUV to be Wey's new flagship  Chinese concern Great Wall showed the first photos of the Wey Mocha crossover. The model will enter the market in two versions: conventional and plug-in hybrid.   https://t.co/DIlddv5qY6  https://t.co/dWPRBOrDps
55,"Everything's magical when it snows, everything looks pretty. The clothes are great. Coats, scarves, gloves, hats."
56,"How sad. I met her once, she was great."
57,"had a dream there was a new npc in minecraft named ‘dordon’ ,who looked sorta like a blocky tf2 heavy, who would show up behind you when mining and tell you you’re doing a great job but very politely ask if you could give him some stone because he had wanted to mine here"
58,@fati22kili @DramasBazaar really u liked it 😂😂😂that's great 😂 i went to watch it in my final yr/8th sem with my frnds 😅😅 &amp; that was 14th Feb lol it was so funny that in the whole theater only we 6 were the only people singleton 😂
59,@joan_of_orc There was a great Hammer film about her!
60,@PHCircuit I think he just scored again!!!! Great game @TonyOsburn9
61,"@Zakaria87213489 You are a star my dear brother , and a great example to us .💐💐💐💐👍🙏"
62,I was just driving in town today and noticed that 2020.48.30 has added crosswalks and yields to its list of AP stopping locations. Slowing for yellow flashing lights is now also much smoother. I can't imagine how great these things will be with FSD beta. Tesla will own autonomy.
63,"@HighFlyingB1rd Well, this is great news for your neighbours I'm sure!"
64,@breimels They all look great.
65,@GDadsarmy Gotta be honest she looks great for her age..
66,After the fuckery that was Quinntricia... The Lions did a great thing with Holmes and a good thing with Campbell. This duo should at the least bring excitement back to MoTown
67,@sof_almighty great :)
68,"Timo is so lucky he is not playing for Man United. The media and the ""fans"" 🔥🔥🔥😭. I do hope he gets his Form back he is a great player."
69,@Chief_TDzzl @WhaleShark_Pro @E1337_Pro @AxieInfinity @CommunityGaming Hype! Looks great
70,Who would’ve thought it i’m extremely proud of our team. The gophers played well on both ends of the floor. Great game plan by the coaching staff. With all what’s been going on in our country I needed this. MICHvsMINN
71,"@cora_london @TheSaffronSmith It’s a great song and all, but I’ve spent 36 years trying to figure out which coast Chicago is on. 😃"
72,@domvose You needed Nolan to be made a permanent signing in my opinion. He was beginning to make you tick and allowed you to play your game. I believe we had to offload Fowler to bring him in which couldn't be done. Shame because you'd have been a great midfield pairing.
73,@000_nico_000 @jules_su @scripta_bene Great pic !
74,"Watching the #UFCFightIsland7   I’m a boxing fan so don’t watch #ufc but I must say this is very entertaining this card , the heavyweights was a great scrap , who you guys got for the main card #HollowayKattar"
75,@IceWithNoLemon @swansfcjake Who cares if we haven’t been great!
76,"@kitastars_ AHAHAHAHA LMAO THANKS, I WORKED HARD TO COME UP WITH THE RIGHT WORDS TO DESCRIBE A PERSONALITY AS GREAT AS KITA'S"
77,"Smith and Sharangovich getting goals in their first two games, Jack Hughes have three points in his first two games. Great start."
78,a lot of times if fighting a sequence head-on seems too tough you just don't need to  especially once you get the fucking Visibomb because that thing is apeshit strong and great for ending fights before they start
79,I have a great beer bratwurst recipe
80,@charliekirk11 I know a great spot at @bumhuts house where they can stay!
81,@MR_SoOoN1 2021  is going to be a great time 😋
82,"@caytlyn_brooke Yes, having kids gives you a different understanding of gracious, beauty and intimacy. It's OK though, you become a more compassionate person through it. Being a mom is great, just be prepared for deep personal change. ♥️"
83,I love this song sm! 5sos keeping us fed with great music   https://t.co/1WdDwMlnaY
84,Itävallan koronarajoitusten vastaisessa tuhansien ihmisten mielenosoituksessa näyttäisi olevan salaliittoteoreetikoiden banderolleja. World Economic Forumin Great Reset -aloitteesta levitetään tyypillisiä antisemitistisiä NWO-salaliittoteorioita QAnon- ja äärioikeistopiireissä.  https://t.co/9ZbXwrzGNa
85,@SdChristelle @VKootenayboy @TrvlingStories We have a great costume to wear for this song to.  I'm dying already! 🤣🤣🤣🤣
86,@ohreallycarps @TheBeakBrewery They’re all great but that Beak lager is something special. Cheers for the order
87,@Speaktruetofac1 @Kat_Cammack @marthamaccallum @FoxNews Of course everything is racist to those who don’t agree with you. That’s the new way to shut down opposing views. I’m sure you succeed in most cases. Good for yall great tactic if you ask me.
88,@dianalxpz @JLo @Coach Diana you did a great job!! 😊🔥 ❤️
89,The 1st half comes to an end as the Lady Lions are down by 1 at the quarter. @KDEEE23 had a GREAT first half with 12 PTS and 4 REBS. Great matchup with Southern.  *HALFTIME SCORE*  UAPB - 32 Southern - 33  @UAPBLionsRoar @UAPB_WBB
90,🙏🏽🙏🏽💪🏾⚡️✨✨✨  https://t.co/bamhYxmVfz
91,"@ProfNarcoossee @thisfloridalife @monorailtimes @Nitro230 @derekburgan Makes sense. The food looks great, can you confirm?"
92,"The fact that people move into gated communities with communal areas and never talk to each other, organize anything, or make anything great happen. It’s a waste of resources  😆"
93,".@CosmicSkeptic Great debate job in the duscussion today.  Q: Is it morally permissible to eat my mother's Sunday roast, given that I have expressed a preference for a vegan option, and given that the roast was prepared anyway? Thank you!  #Veganuary"
94,@esterborin You are welcome! Your ideas were great! And I have been so excited to use breakout rooms this week that I thought other people may find it useful. #mfltwitterati
95,Another great win for #Gophers MBB! #elite defensive effort. #SkiUMah
96,Any day spent watching the kids play is a good day in this day and age! Glad to see a long crazy week come to an end with a great basketball game last night and a day on the mats today!! Hoping next week is as successful!! Rest up Gettysburg!!
97,"@clay_mcch It looks like Biden wants to be a depression president, since the Great Depression clearly reminds him of his childhood he must want to relive it in his twilight years and let the lowly peasants suffer and die. It’ll crush business and cause a great depression 2.0 for 10 years."
98,@BeschlossDC @obbiecole Make civics education in public schools great again!
99,"@louistillthe1 good luck! you're gonna do it great, have a goodnight!"
