,tweet,
37,@TH3CHN0CHAN in my opinion it’s only ok if you don’t have the resources to go out and get a proper diagnosis. or if you deeply relate to the symptoms and stuff like that. i don’t think it’s ok tho if you say you have depression just because you feel sad every so often,1
38,@TheLegendSushi Not tryna feed my depression bruv,2
39,Does reading or buying sapphic books cure depression? Asking for a friend.,1
40,"Personal memoir, CW: sexual assault, addiction, depression:   https://t.co/F8WoXg0QTR",2
41,"Unbelievable, my heart goes out to this man. So very sad.   Dog owner 'completely broken' as pet who helped him cope with depression is stolen during attack  https://t.co/TP1C5C0PeH",1
42,Okay maybe the seasonal depression is beginning to set in because this is the 5th online purchase I’ve made in less than 5 days 😭,1
43,Today has been a really annoying and emotional day to have depression.,1
44,@TheAshleyRosee I have. Its about Wanda going into depression and creating a whole new reality for her and staying in that reality to live with her loved ones who are already dead,2
45,I hate feeling memories of depression when I'm not actually depressed.,1
46,@BarbClitten you’re in your great depression era now,1
47,"last madewell stan tweet, the mgr literally said “i remember the first time you came in and got those fitzgerald wash jeans” like ma’am i’m obsessed with u but u do NOT have to flex on my shitty depression memory like that",2
48,"You have 20 mins to spare esp when u fall down YT rabbit holes for 3 hrs looking for something else  Childhood: THIS IS AWESOME YA: Ok...ppl were definitely on acid making this Today: This is probably the most awesome take on mental health issues, starting with depression &amp; fear",0
49,if you’re really gonna make a person mentally unstable...maybe you’re the mentally unstable one luv #depression #MentalHealthAwareness,1
50,"I'm a memer, I'm a memer naso depression kill my guy",2
51,"By the time this pandemic is over, my depression is gonna be so high that I won’t even wanna go out and enjoy life 😖😭😭",1
52,I have nobody.  #borderlinepersonalitydisorder #bpd #BPDProblems #mentalhealth #MentalHealthAwareness #mentalhealthmatters #lonliness #suicide #BetterOffDead #IHateMyLife #ItsOkNotToBeOk #KeepTalkingMH #NoFriends #depression #DepressionalIsReal #BPDFam   https://t.co/Qr7BlJhnek,1
53,"Do your self a favour and go listen to Joyner Lucas older tracks cause if you got depression  just go listen to ""I'm Sorry"" trust me its gonna change your views on life.",0
54,Philanto 6gh p3 norr my depression lost 😎,2
55,"tw // bodyshaming, depression, suicide, hanging - - - - - im genuinely asking do y’all actually say these things irl? u tell ppl to commit suicide, depression is a “joke”?? u bodyshame them, u make fun of the way they look?? if u actually do these things ur sick in the head.",1
56,"@SeyaFundafunda Chi depression Chilechita nga chaselela Ku chest, cha ingila mumakasa elyo kuma beta naku myefu  https://t.co/RWPKS4g0aM",2
57,"Don’t Let Depression Over Power U, Fight Threw It U Can Do It!  https://t.co/q4beE890ab via @YouTube  #like #share #subscribe to  @ TheRealDonDon 🥰 📲",0
58,@blizzb3ar Also find someone who validates your mental health. Your sexuality shouldn’t be automatically linked to your depression. 🤦🏽‍♀️,0
59,"Bon sinon je pensais que la dépression, les angoisses, tout ça, c'était du passé.  Ben non ☹. Presque cinq ans, ça commence à être un peu long. Et très insupportable.",2
60,"@Jirayalecochon Vive l'été !  J'adore la période des fêtes, genre 1 mois quoi mais après c'est bezef. Je suis hyper sensible à la depression saisonnière",2
61,@CapitalOfficial My depression and anxiety waiting to keep me up all night 😘✌️,1
62,"Ich brauche ein Victorious 2 aber was voll ernst ist wie zum Beispiel Elite oder so mit richtigen Problemen liebe, Drama, Hass, Schmerz, Depression aber auch Freude",2
63,"ofc nothing will change and i will keep following this downward spiral towards chronic depression, but at least im ok with myself for not hiding anything",1
64,"@Deathbunny13 @YAlabaster @ZeldaAGabriel Right. Part of the treatment is as addressing the symptoms of the dysphoria - such as anxiety and depression.  A diagnosis of gender dysphoria warrants insurance coverage of transitioning, as well (depending on the country, state, insurance company, etc). But that is the intent.",2
65,Discussion: Pediatric Bipolar Depression Disorder Debate  https://t.co/CQZ6AuRvyD,2
66,"tommy pulling a dream... ""give me your things"" like okay remember your depression arc??",2
67,"@ThirstyChampion I'm not the person to ask but normal people nap around 2 hours. If you're heavily anemic (like myself), my normal naps are 4-6 hours. Depression causes fatigue too so if you've been stressed out that could be a cause as well",1
68,@SJKBU @TheStourbridge Thank you for replying. I feel so bad in the morning that I can't even face phoning people. I am just under severe stress at the moment. I have had chronic pain since 16 so I can cope with that but the grief/depression is horrendous,1
69,"@itsrhondabitch @LynzforCongress I would've had some real fun with @OliveGarden and @Darden for pretextually firing me after reporting a coworker groping, if I'd not ended up in such a deep depression.  [Ooh, and @GiantEagle, after pretextually firing me after my workplace fall and/or ...",1
70,"@MaryanneChisho2 I'm having the same problem. I have severe anxiety along with severe depression. Its been a rough 4 years for me. I'm going 2 say something weird. But, it's nice 2 know that there is some1 else that understands what I'm going thru. DM anytime 2 need 2 chat. I'll b happy 2 listen.",1
71,"""lol 14 year olds who fake depression and listen to billie eilish and kpop"" literally who asked you",2
72,"@DrAmyMarschall @LeRemedyy We went for her depression and she literally spoke oh how they went camping n her son walked up to a random guy n said ""I'm gonna kill you"" plus they had cats all inside the office. I should of left whn I saw all the cats inside 🤮",1
73,"Am grateful for #BussIt  It's refuses depression, stress and other emotional problems",0
74,"Our #MissSLU2021Countdown continues with  Contestant number 10:Lily Gayle Talent:Vocal, Instrumental Platform:The Lifter’s Project: Depression, Anxiety, and Anorexia Recovery Major:Communication Age:21 Hometown:Hammond, LA - Vote for the People’s Choice Award on CAB’s Facebook  https://t.co/iYWzJyiIKk",2
75,Depression is so cruel.,1
76,"Living in Nigeria 🇳🇬 is another way to die, suicide,depression If you make it in Nigeria I cut cap for you🙏🙏🙏",2
77,"My depression is so, so bad lately",1
78,"Forever convincing myself the only way to drag myself out of depression is by traveling, see u next month nevada✨",1
79,My depression so bad like nothing excites me anymore and I'm always irritated,1
80,@moorenotless_48 it’s literally my depression cave,2
81,"@Newsweek I am a war veteran. 3.5 g of magic mushrooms cured my depression, anxiety and  insomnia. I don't drink or smoke weed anymore.  Better yet, I don't take any of those shitty drugs the #VA used to push on me every month. How much is #BigPharma paying for this article,  @Newsweek?",2
82,that's depression love  https://t.co/EED1RlyUiv,2
83,Yesterday I saw a photo of a pine forest and cried which is probably the depression speaking but also I think maybe I should make an effort towards living near the kind of place I'm always wishing I could be?? Maybe that's unrealistic but I can dream for another week or two.,1
84,"@jfitzgeraldMD Over 3 years I was treated for severe depression when in fact I was menopausal. 3 hospital stays, antidepressants, going crazy. An intern referred me to Dr for women’s health who put me on HRT. 3 years of hell that could have been avoided if symptoms taken seriously.",1
85,"@sarcasticdukke @dosalover1906 @Fact Probably its worst than sleeping?, time without sex create depression that you can't experience from sleeping.",2
86,Exercise cures depression,0
87,#FindTed Somebody must  know a person who’s suddenly got a dog!! -   Dog owner 'completely broken' as pet who helped him cope with depression is stolen during attack  https://t.co/b8V5v0ZwIH  https://t.co/5W4KVjtZ9U,2
88,@SLEEPYMILS This thread cures my depression,2
89,"Reunions are so useless and overrated. Just a bunch of former classmates that wants to show off their new cars, Phones, form fake humility and a false sense of accomplishment. Reunions add absolutely nothing to anybody’s life if anything compounds it with depression.",1
90,Idk if it's a lil depression in the tank or my period getting ready to come through and wreck shit but I've been SO exhausted lately.,1
91,now back to depression 👋🏼👋🏼👋🏼,1
92,"@TomGaymor It’s an item on the @SkyNews app too, so hopefully that’ll help make sure as many people as possible are on the lookout for Ted   Dog owner 'completely broken' as pet who helped him cope with depression is stolen during attack  https://t.co/4dNfz8TPqH",2
93,@BreitbartNews Be prepared for a great depression.,2
94,"Depression, anxiety and other mental illnesses are not trending. People have just become more comfortable and willing to be open about their struggles. And in a generation full of memes, a lot of people find that as an easy outlet for dealing with their issues through humor.",0
95,"My Taurus sun might be strong and dependable but I also have a Gemini moon, ADHD, and depression so where do we go from here",1
96,خاوتي شكون عندو وصفة سحرية للقضاء على dépression ؟,2
97,"@DPJHodges No, but perhaps fewer people would go out of business, suffer from depression etc.",2
98,@dergigi My octopus teacher. (Movie/documentary).  Humbling story about a South African guy who goes freediving each day to cope with his depression. He meets an octopus and this encounter slowly teaches him about life... tearjerker 🐙 ❤️,0
99,my favorite literary genre is Depresssed Millenial Writer Writes about Depression,2
100,Then both apps ruined the brains of millions of Americans either through vanity or conspiracy resulting in widespread depression and a divided nation...  We could’ve just stayed on MySpace if it was going to end up like this,2
101,@TheRealHoarse Oh that's just depression my man.,2
102,"@ShelaghFogarty Yeah, let’s kill every last view of normality. I mean the sight of elation and joy is just too much. I want to see misery, death, illness, sadness, day in day out.  Those who don’t get ill via Covid let’s make them ill via depression.  FFS 🙄🤦🏽‍♂️🙇🏽‍♂️",1
103,My anxiety &amp; depression has never been worse. I know I’m not alone.,1
104,@PrimalPolitical We don’t know what the level of depression is in poorer countries.,2
105,"Needless to say my depression is cured now that my wife is home, I also have left behind my quarrel with snow and winter time. From now on I'll be appriciating the cold",0
106,"VisionsOne: Center for Education and Policy is hosting BIPOC Women Cultural Trauma &amp; its Impact: PTSD, Depression, Anxiety (Pt. 1). Would you like to attend?  https://t.co/Y42ctULc5z",2
107,"During the first lockdown, we lost a member of the team. Chris struggled with depression and sadly took his own life. Since then, his family set up a fundraiser for CALM (campaign against living miserably), a charity who help those with mental health issues know they aren't alone",1
108,@amour72mg Depression. Please seek out a qualified therapist before your brain starts being mean to you. A lot of us have been there and we stand with you.,0
109,"Ah, wonderful... maybe this’ll cure my depression.  https://t.co/npJygXfsvV",2
110,"""are you a man or a woman"" i an crippling depression  (this is attacking myself)",1
111,@SavvyRinu Hi Sadness gradually turning to depression,1
112,I need space to be able to live a quality life.  And I don't think I should ignore my body and neglect my needs just because I have different needs than an average person.  Am I selfish to think this way?   #anxietydisorders  #Autism  #depression  #life,2
113,I'm deadly tired.  Tired of being worthless.  Tired of being helpless.  Tired of being a problem.  Tired of being a burden.  Tired of being misunderstood.  #anxietydisorders  #Autism  #depression  #life,1
114,Mbappé s’il marque pas très vite et qu’il ne retrouve pas rapidement le rythme il va vite sombrer dans une profonde dépression,2
115,"Winter blues? Wintertime doesn’t have to be SAD. When it’s cold outside and the days are short, do you find yourself feeling down and sleeping more? You may be suffering from seasonal affective disorder, considered a major form of depression. See:  https://t.co/vkptsjRzmw",1
116,"@Officer_Zack @Creekosaurus @BernieSanders Many people with mental health issues have benefited from stay-at-home measures, but a few have developed depression. Some have also developed mental health issues bc of covid. Rs will use anything to argue against preventative measures that worked everywhere else when followed.",0
117,"@henrybriggs @jbarro I think UBI has a role to play, for sure, but we are a long way off from getting to that as policy. We can, however, quickly move the needle on wages, if only to correct for years of wage depression. Correcting wages and pushing for UBI are not mutually exclusive.",2
118,"this is the crazy concept to me but it really is true. sometimes, we eat to fill emotional wholes in our lives. boredom, horniness, depression, frustration etc.  we not hungry for food, we hungry for life. the food is just a temp placebo.",1
119,Why has nobody got me hip to depression Cherry by beach house before now 🤦🏾‍♂️,2
120,@samdeanss I need to get off of here the hate for my comfort person and character is too painful. He's helped me with my depression so much. I hate this bullying 💔,1
121,moms in my room asking me if i have depression as i type this,1
122,"i have been absent in a very minor, very random depression that i'm medicating entirely with zelda, so this is my reminder to any friends ive been absent toward that its not you or anything im just in a weird headplace",1
123,"Untreated depression can lead to suicidal thoughts or attempts, Always check on your Love ones.",1
124,"I tell everyone, and I will always tell everyone: Find someone who knows when things aren't right. Someone who knows that you need help.  I've been in a deep depression for the last month or more, and I couldn't pull myself out. Couldn't stream, couldn't even leave the house...",1
125,"We all walk, move around🚶‍♀️🚶‍♀️, smile, make jokes about pretty little things😁😆😂 huumm,bt I tell u a whole lot lies behind those smiles😡😢😭 Many r @a cross road of what to do, while some are battling depression. My face show so much life but behind my smiles lies depression.",1
126,Best way to beat depression mates,2
127,guys i’ve decided to have a baby this year bc my baby sister literally cured my depression in 10 seconds🥰,1
128,@LindseyPelas Depression,2
129,"@_astral_lady @Mar_Quaine Persona 5: Activism, betrayal, and friendship Persona 4: Mystery, betrayal, and friendship Persona 3: Depression, depression, death, betrayal and friendship(?)",2
130,"The school counselor also has some funny moments, where her concern is less about Zetsubo's hopelessness/depression/suicidal ideation and more about how much of a pain it is to deal with his despair over such seemingly small things despite being...a counselor",1
131,@kumikogf ah yes depression cured 👍/s /j,2
132,@b_crawl get ready to see some brand new depression clothes!!!,2
133,i was free of u for a while because my depression medicine numbed me so much but now that i literally can’t take any now i have to suffer thanks,1
134,i said DEPRESSION BE GONEEEEEE🗣  https://t.co/s1Wu7QtmbW,0
135,@PreciousUkenye @curious___z Thats a harsh word to use on someone no matter who you're stanning.later you'll  start preaching about depression.all shades of wrong.,2
136,wsh on est tous en depression en ce moment ?,2
137,@omarelmorsyy @Depression__D طيب في جهاز استشعار للعينة للي زي دي عشان نعرف اذا كانت out of mood or not,2
138,@COMBATMVGNUM IKR AGSJDD ppl keep liking this one reply that says I'm mentally ill for thinking a character is gay like SWEETIE NO... I'm mentally ill in the way that I have DEPRESSION not cuz I think a cartoon is gay as shit 😭,1
139,@hedwig47501 That type of preprograms negativity in your thinking is never going to lead to anything good in life That’s why that depression programming was placed in your brain by other people to hold you down,1
140,Mother  #poetry #poetrycommunity #poem #poems #writingcommunity #veterans #mentalhealth #ptsd #depression #anxiety #newfoundland #newfoundlandandlabrador #snow #winter #NewfoundlandPoet #haikupoetry #haikupoem #haiku  https://t.co/Zcwt0VT8WG,2
141,"@tigermama01 One thing about pitts. You have match their energy, if not they will fall into depression.",2
142,"Seeing your child after a week? Who's taking care of your child in that week? Does this culture take into account postpartum depression and how the absence of the father (not a support structure, the FATHER) further deteriorates a new mom's mental health?   Is it crack?",1
143,Must be the depression,1
144,"japanese songs about suicide, depression and pain give me the “i been dancing in my room, swaying my feet” vibes",2
145,vruh how tf does anyone who understands psychoanalysis stay happy. this shit made my manic depression worse,1
146,covid-19 negative but depression positive,1
147,@HepburnMystic @poppy Yeah it was because I get hurt alot thats all PTSD and my self esteem and self image confidence and panic attacks depression resulting in eating lots of junk from the distressing fun being made of me and shouting isn't good for my mental health issues sensitive lil bugger i am,1
148,I  made  a  depression  joke  at  work  just  now  and  the  two  coworkers  in  the  crew  room  are  concerned  for  my  well  being,1
149,Floating Leaves 🙏  #soothing #relaxation #MentalHealthMatters #anxietyrelief #PTSD #meditationmusic #meditation #healthcare #Health #healthy #depression #getwell #SPIRITUAL #witchtwtpl  https://t.co/06mRvrH2ZT,2
150,Depression is when the girl you loved turned your request down for someone you underrate most. 🤧💔 mehn that sh!t hurts..!!,2
151,J'ai jamais été aussi triste qu'en ce moment  Dépression + burn out GG.. 😔,2
152,depression is getting scammed out of 15 dollars and not even caring  or that may be being rich. IDk either way im kinda sad but i do got hella bread,2
153,"I guess I've been taking peaceful times for granted... When I'm having fun, I tend to forget how much effort it takes just to avoid spiraling down into depression cuz of anxiety triggers that pile up 😔",1
154,J’ai horreur de le quitter le jour d’après je suis en dépression après 🥺,2
155,"@BAaCCJ WIP2 Oh Gd Damian would panic so hard internally. Mind you,he has plenty of younger siblings he takes care of on the regular,and is very,very good with children but he has severe social anxiety (as well as PTSD,OCD,depression etc),his self esteem is nonexistent,&amp; as unfortunate",1
156,"@NikoAnesti I hear you. My depression got pretty bad for a while, but I'm starting to get back on track again. Baby steps Niko 👍  You're doing the best you can right now. Props for trying something new and seeing if it was helpful or not. Sometimes self care takes some trial and error  https://t.co/16QgvPnNGI",0
157,"The #COVID #Vaccine Rollout Is Leaving #Pregnant People Hanging  Early on in the #pandemic, #quarantine baby-boom rumors seemed about as ubiquitous as hand sanitizer — as if a raging virus and Great Depression-levels of economic un… https://t.co/06fCqHSTLZ  https://t.co/sF3BEUGezv",2
158,"@1MarkMoss Mark, curious what u think is a way out of huge debt burden. Historically, inflation/devaluation worked. That’s how FDR got us out of depression (arguably). However, some argue that w/ Debt/GDP &gt; 90% devaluation won’t work.",2
159,well.... at least I don't have any behaviours or thoughts typical of OCD 😬😬😬  https://t.co/sFbEzt5KgH #MentalHealthAwareness #pathology #adhd #add #autism #anxiety #depression  https://t.co/slTuINlcKf,2
160,depression shopping,1
161,"@ShahzadYunasPTI Depression, anxiety, tension is going to kill students. University is trying to make our mind to leave the earth. 🤕😭",1
162,"@GovMLG @NMDOH What else are people dying of? Despair, depression, bankruptcy, loss of a lifetime business,...covid is only one thing,...sadly it has taken lives but I know more of my friends that have died of other causes cancer, diabetes,  heart failure,etc.",1
163,"""Depression? you don't look depressed, you're always looking so cheerful!""  Yeah. I was a cheery little thing back in high school. Who also was in great risk of suicide.  Do not praise someone for such.",1
164,@Maria_George4 Aghlab el cases bigelha post-covid depression f3lan lel asaf 7amdela 3ala salamtek ya Mariaaa❤️❤️❤️❤️,2
165,Watching Gilmore Girls: is it nostalgia or 💫 seasonal depression 💫,2
166,Welcome back depression. We've missed you.,1
167,"@aisharubyjane the r*pe jokes, making fun of depression and shit. some toxic armys have done that with ur girls and the rest of us have put them in check but i have never seen a single blink speak up against that when you do it to the boys. you ALL encourage that behaviour. the entire fandom.",1
168,"@taeprodv literally it'll be when ""tae d!es of lung cancer"" ""when yoongi k!lls himself, fuck his depression, j/m getting gang raped by his members""",2
169,AHHAHAHAHHA oh man the undiagnosed adult ADHD really popping out more so than my actual diagnosed depression/anxiety  https://t.co/bQ3eMNmml8,1
170,@Iamdepr47974144 Did something happen to make you start feeling this way? #mentalhealth #depression,2
171,"Clikkies stan a band that talks about mental health, depression and suicide and then bully their own fave for liking Justin Bieber yall need help, like actual psychiatrist help😀",2
172,ꨄ I’m out for a walk because it helps with my Depression and Anxiety and then it’s time to grind BP in DBD,0
173,i can literally feel the seasonal depression making an exit 🤩,0
174,"@evanspeeee @donadeshina @BritikoPleaseee @MDee_01 @teemah_kenny @chiigrace Music twitter is most toxic, music Twitter that troll and slander artiste achievement, music twitter that compared two artiste nd send some into depression. Abeg. Laycon manager never came out to reply trolls b4. He came out when he sees fc dragging laycon. Some Fc do too much",2
175,@____PARROT just this movie gave me unbearable depression,2
176,@MJT36165368 I'm a proud Celexa user. Depression is real. Side note: I cannot imagine what the past 4 years would've been like for me without it.,0
177,Depression is real guys... Be kind with your words always.   #Mercenaries we almost lost one of our own today... She is receiving help at the moment Thank you all for reaching out,2
178,my bpd when i’m not on depression medicine that completely numbs Me: hello!!!!!! hi !!!! i am your entire personality and being now❤️ time 2 suffer !,1
179,Anyone dealing with anxiety and depression. Listen to this. Made me feel not so alone anymore.   https://t.co/32qL7WYRR1,2
180,"@JonHarland1 @missyouemmy @jackie51young @Keir_Starmer @tom_watson @Twitter After a decade of Tory austerity and the covid19 pandemic the only way the UK will avoid a depression is with a socialist Labour government, Jon.  PR would make socialist policies impossible. Now is not the time for PR.",2
181,Dog owner 'completely broken' as pet who helped him cope with depression is stolen during attack  https://t.co/NfLMwKalgo please please share help get this dog home this person needs him back soon or sooner,2
182,"I know ppl shit on it but romanticizing my life and myself was the main thing that helped me thru my major depression. It’s the little things like making ur breakfast look cute, or taking a nice lil crystal bath. Treat yourself like the queen/king you are!!",0
183,"@raquell_russell @JustinWolfers We just didn’t just stumbled onto January 6, 2021! This has been on since the Civil War and Ronald Reagan’s hate for Goverment came from the enormous hatred he had for Franklin D Roosevelt’s Goverment programs he initiated to save the USA from the Great Depression! It’s about $$$",2
184,people on social media be having depression but still more self confidence than me,1
185,Ahh crippling depression,1
186,"@longlizzy72 @CathyChicc @AnthonyICHH @DarraghOBrienTD @HMcEntee @joeliveline @DonnellyStephen @IrishTimes @Independent_ie @FocusIreland When you get older 72 nearly 73 ,they don't CARE,mental health services in Dublin don't CARE dcc don't CARE my mental health is taking a dive I'm not insane I suffer from chronic resistance depression and the hse refused to fund my treatment only 1thing to do and im thinking ofit",2
187,@crow_depression  ご参加ありがとうございます。 結果は動画でご確認ください。 当たりの方にはすぐDMが届きます✨ 1月31日23:59まで毎日挑戦できます！   https://t.co/ytUDOIQVYj  https://t.co/hor7nKDex5,2
188,Vous c’est les mecs qui vous mettent en dépression moi c’est clairement l’école à 100%,2
189,Lol oh look depression hours open y’all,1
190,"Right, this pendulum needs to end because I cannot fake not having depression any fucking longer",1
191,"""I'm such a hack I'd only get published if I was a neurotypical cishet white dude"" yeah depression really going there today.  Good news I got the white part on lock",1
192,i just went through my photos and saw my pics when i was at my lowest going thorough the worst and biggest depression phase I’ve ever had in my whole life. Looking back at it now made me feel so cold inside it actually hurts ahahaha,1
193,This is depression  https://t.co/17HYvVyiUW,2
194,@SomtoSocial This will lead to extreme depression,2
195,Dog owner 'completely broken' as pet who helped him cope with depression is stolen during attack  https://t.co/KDbBK3259s,2
196,also depression but mostly a big fat ass,2
197,"depression tunez pero a tope  me dieron la b uwu si queréis hacerlo ponedme un poema abajo  o no, con un emoji me vale también  https://t.co/DcJgbjS2wx",2
198,"@godlywomanhood A marriage has to have harmony and it takes two. A women who is constantly sacrificing and getting no recognition for her effort can become depressed. This emptiness and depression is what led to the 2nd wave of feminism, btw.",1
199,I just have no motivation today. My depression has fully kicked in today.,1
200,Either my winter depression is kicking in or some astrology thing is happening rn😭,1
201,@MrDamGames hygiène la dépression tu connais et euh ^^,2
202,"Fuck Evangelion, real ones look at Hello Charlotte for that depression media",2
203,Nicole Phelps revealed a particularly vulnerable moment she had with husband Michael Phelps amid his ongoing struggles with depression  https://t.co/WBaPHiYJtb,2
204,"Phone Brathing Space when you're feeling #low.  Theyare a free, #confidential, phone service for anyone in Scotland over the age of 16 experiencing #lowmood,#depression or #anxiety.  Opening hours Mon-Thurs 6pm to 2am,  Friday 6pm-Monday 6am This service is for people in Scotland  https://t.co/GjjEBfZdXt",2
205,Which Is More Important: Physical or #MentalHealth? ||  https://t.co/Mfw0N1SjLs == #stigma #anxiety #depression #pandemic #covid #mhsm #mhchat  https://t.co/uMT0onZoyz,2
206,"Amber's life is a dark and lonely place. Feeling isolated and struggling with grief and depression, she begrudgingly agrees to a weekend away with her unsympathetic boyfriend  https://t.co/uM6DahUhVi #psychological #folk #horror",1
207,@Fracking_Cunt @TopWhoopCF1736 My depression is 100% caused by work,1
208,@thighrry FR!!! it’s so invalidating like your depression isn’t measured by the artists you listen to,2
209,Regular depression + seasonal depression + Covid depression + job bullshit  = how TF haven't I flung myself off this building yet  https://t.co/z4wpxlczZu,1
210,"@JScotti3 @GravesWilliams6 Not if all the “woe is us” bunch will keep fighting back, but holy cow, a lot of the GOP is just in full-on depression, and surrendering after a single stolen election.",2
211,"@TaylorDeella @Alicia20799805 Good for you, good for him. My son struggled with depression, was sober for 2 years and slipped. He drank too much one day, went to sleep and never woke  https://t.co/T3QDEvEysW was 4 years and 1 week ago",1
212,How can you not have a view on whether or not you should be the first Government since the Great Depression to cut unemployment benefits in a recession?,2
213,"Tbt to the time I went to my doctor while i was being treated for depression, but i was a little happy, so she diagnosed me with bipolar bc she thought I was manic for smiling 🙃",1
214,anxiety moon depression rising,1
215,Depression  https://t.co/FLiIwJuFni,2
216,We are not ready for physical Exam  🤬🤬 this behaviour is not good pura semester online prha k paper physical.😔 University students ko kb tk asy Depression dety raho gy  #SayNoToPhysicalExams  @IqraAmi40579584   @Shafqat_Mahmood @hamzashafqaat @ShahzadYunasPTI  https://t.co/bnyQ0qTQbm,2
217,just woke up from a depression nap  https://t.co/8gDuboLJZD,1
218,this depression is not it,1
219,Trump said plan would put this country until a depression unlike any we ever seen before?  https://t.co/emgCqCsU4B,2
220,@Simple_A2 @Depression__D حلو الفلم ياخي ماكنت ابيه يخلص,2
