,tweet,
17,@rawrjays @Joshua_Ariza I love love loved this car in my early teens. A high school girl the next street over had a black one and I wanted one sooooo bad.,0
18,"I wish the story had included more about the age breakdown. If, say, teen deaths were down but elementary school deaths remained steady, we'd have a much clearer picture.",0
19,My... grandfather... owns the school...,2
20,@RomaTorreNYC Serving as “Ringmaster/Emcee” for my grade school/Jr. High Glee Glub circus theme spring concert. I was in 6th grade.,2
21,"And you would be correct  Governed out of Indiana with offices in CA and CO, the Music Educators of America decided back to school policy for the performing arts over local and state gov   Criminal  Remember this when arts programs fail",0
22,Ragdolled his ass😯😯  #meme #memes #fight #fights #Fighter #fightvids #fightvidz #fightvideo #ko #knockout #streetfights #streetfight #school #schoolfight  https://t.co/w4oAjE5wzT,2
23,"Para hacerle justicia al #SaveCAOS para que @hbomax o @TheCW renueven #ChillingAdventuresOfSabrina, escribí un artículo en mi instagram repasando la historia de #SabrinaSpellman.   https://t.co/IQctlqXrcc  #SaveSabrina #ArchieComics #Riverdale  https://t.co/NS8f0uZfC9",2
24,"En vrai peut-être qu’on donne des rôles d’ado à des adultes parce que les séries pour ado, high school etc. sont de + en + sexualisées et on pourrait pas les voir se dénuder à l’écran si c’étaient de vrais gamins lol.",2
25,2:00 AM on a school night my friend: You are JAPANESE sunk bunk hunk sabika i just cant ._.,2
26,@Big_Stu11 He perfecting his ish now. He barely started playin football in high school,0
27,@jmood88 He went to the Javon Wims school of easy catch dropping.,0
28,@SAKURAlSM oh it’s just how i grew up in schools i guess everyone was amazing at everything and i always struggled,1
29,@haunt3dggraveyr yee haw guns in schools,2
30,"A high school junior making $15/hr may be able to put some money in savings for life after high school, including college.   Or may be able to help with household expenses but work less, making it possible for them to commit more time to school and less likely to drop out.",0
31,"@Kylie19Kylie Hmm. Now that’s desperate- and this is just my high-school-diploma-and-some-college public education speaking, but Someone’s never heard of the deli department",0
32,@KayMonRey @lorifalce @beccasaltz @judyblume Forever was banned in our school library in the UK but was available in the village bookshop. My friend bought all our copies there instead!,0
33,"@PoliticsForAlI @thesundaytimes They’ve already ignored Sage before Christmas - no closing schools, no lockdown  and look at the death toll - ignoring the science has not worked well! NHS overwhelmed. They learn nothing from experience.",0
34,@IvankaTrump Eat shit,2
35,@dietc0kesbitch OMG please before we go back to school!!,0
36,"JUSTIN SAW MY CASUAL ATTIRE GLAM AND WENT  ""OH NO SHE GOES TO [our school name].... OH NOOOOOOOOOOOOOO""",0
37,".@BlessedMMA just took Kattar to school. A MASTER class. He was fighting one man in the cage while talking to another man outside of the octagon. No look jabs &amp; feints... damn near 1,000 strikes. He’s probably still swinging and connecting as we speak. #Blessed #ufc",0
38,"@galjudo Lolz, just not when they’re in elementary school.",2
39,@missdcox I think the bigger problem is that the majority of schools have reduced their ks3 Computer science/IT time. 15 years ago it was necessary to have some type of IT qualification when you left school now the kids don’t even get 1 hour a week!,0
40,@morris_atc Yes I think we’ve all had to be the #covidpolice at our schools. ‘Pull your mask up! ‘,2
41,If any yahoo boy oppress me when school resume I go call police for you 🤧 All of una way get money dey mad,2
42,LHS freshman @eaglesboyshoops gets first W in first game of the season.  Final: Eagles 34 Falcons 21 #GoEagles,0
43,I’m convinced that people in school who would say “that’s so gay” had zero brain cells,2
44,Nearly 73% of school leaders said they do not have enough digital devices and internet access to ensure all self-isolating pupils can keep learning. Source: Teach First*  *Source: Ofcom  https://www.ofcom. org. uk/,0
45,i have a very vivid memory of watching a bullying safety short on a small tv on a cart before our school got projectors in 3rd grade and it haunts me,1
46,@KansasGrant Taught Sunday School. Delivered for a crisis food pantry.,2
47,throwed up on someone i dont know in middle school,2
48,no puedo creer q estoy diciendo esto pero i really miss high school,2
49,"@hnshah Still is for founders with little financial means &gt; didn’t go to fancy schools, doesn’t have wealthy network for their friends and family round, can’t stay without pay for very long, or has to make huge sacrifices like living at parents, etc. = greater chance of failure.",2
50,@tony_pancake True he spittin why schools suck,0
51,"@SMcmorningwood @JrjThe @SenClaireCelsi Common Core destroyed our schools in all 50 states. It's probably one of the biggest reasons we, along with many states, have a teacher shortage.",0
52,"@Poppysnakeskin scholarships at my school are not success based, they’re financial need based. i litchrally sent a wiki article that had every single info abt my school helpiana 😭",0
53,Should I take off school til Feb. 1st,2
54,"@KincannonPam We came here for my job, stayed once kids got settled in school. Beach bums at heart. Eventually we will get back to the ocean.",0
55,@patattenmeidt Hij is een good guy! Hij gaat naar een school 'UA' en das zo een hero academie (hence the anime name 'My Hero Acadamia') maar dont be fooled hij is ni de main character hhahhah,2
56,Me: I'm gonna do an art stream  My school: Want to answer questions over the phone for half an hour during your stream?,0
57,me too,2
58,"If a guy ever asked you if you can touch your elbows together in jr high/ high school, you may be entitled to financial compensation.",0
59,"Lenawee Christian vs Suttons Bay High School Football Playoffs Today 2021 Cougars vs Norsemen  LIVE STREAM:  https://t.co/YsTS5XKR4f The Suttons Bay   varsity football team has a neutral playoff game vs. Lenawee Christian   on Saturday, today",2
60,"@tomcolgan14 Independent Catholic Schools in the city are terrific. My daughter went to Marymount;Nursery thru 12th. So prepared for life.Sense of humor,well spoken,firm handshake,looks you in the eye, accomplished multi instrumental musician, and now 5 straight semesters Dean’s List at Tufts",0
61,2022 SS @JakeHammonds4  doing his thing at Meridian Community College today.,2
62,@wirylemur @Malcolm_fleX48 You realize that for one to acquire a trade one must either A. Pay to go to school for 2-4 years while also paying rent and surviving or B.Take an apprenticeship or a helper position and get paid pennies till they work their way up. Either way people should be paid more...,0
63,"@SunnyOldDay i'm so glad that you're doing alright baby dee, yeah school take a lot of time :( i missed talking w you sm 🥺",0
64,White culture is drinking the free chocolate milk every morning in school and ✨vomiting ✨it up later that day,0
65,@MANDALOR14N something every workplace &amp; school should allow esp after lunch break 😂 should.... 🙄,0
66,"@Eli_Wallace35 @jacksonlong44 @coach_brevard Yes, he did. Q&amp;A w/ the high school kids",2
67,"@Lauren9Dudley Had this convo about how girls pick ugly bridesmaid dresses for their friends- to stand out. I come from the school of- the hotter you collectively look, the larger pool of boys you attract",0
68,every day I laugh about the fact my friends and I left school together and it turns out we’re all fucking gay it’s so funny to me,0
69,"@MediaLawProf Summer before senior year of high school, I worked as a “sort of” waitress at an ice cream shop. I say “sort of” because I got paid waitress wages, but never made more than $1.00/he in tips. Plus, I had to call a boy from my class, Mr. AND there was no dish washer. 1/2",
70,Tomorrow I will share a simple ritual to prayer to Ancestors for a general Blessing.   Keep your eyes out for further content and you can also check out my course through The Blackthorne School.  Love and Manyfold Blessings  Asphodelo xxx  18/18   https://t.co/ZC1ErATB3L,0
71,I Will not resume School on 1st February en...Sai daii duk abinda ze faru yafaru.  https://t.co/aMAylujbb7,2
72,I just got result 'inarizaki' on quiz 'which hq!! school you'd attend'. What will you get?  https://t.co/USQLFpJMBv vía @uquiz  WAAAAAAAAA conforme,2
73,@globalistaa @Iris00010 Ik heb ook 4 jaar lang voor niks gewerkt. Toen was er nog geen kinderopvangtoeslag. Toen de kinderen eindelijk naar school gingen verloor ik mijn baan 🤣😂,2
74,@enhacatz OPEN THE SCHOOLS,2
75,"@Athene_jones Lanyard Delingpole, 17th century poet of the Arcadian School, his lyrical works on ‘toilers of the fields’ - Herefordshire,  are a little known joy to scholars of the oeuvre...",0
76,"@_celia_bedelia_ This is a myth, of course. Teachers only get paid for the actual school year and can either get paid for 9 months or opt in to have their pay disbursed over 12 months.",0
77,@TommoTheCabbit congrats!!,2
78,@RamsNFL Casual brothers woke up Feeling dangerous😈   AD.       0-Sacks😂 0-Tackles💀 1-hall of fame school Threat Badge😈 2 full Quarters played😬  Ramsey😠 0-Tackles😴 0-pick💀 1-allowed TD😂 50 yards allowed😐 1-blaming Teammates😠 2 full Quarters played💀  Packers by 20+,2
79,@dc_mma is enjoying retirement. Looking like a damn school bus driver. #UFCFightIsland,0
80,Preparing for the 2021 Chaos 14u and Fallston High School season,2
81,"TW // ED  lwj knows wwx has a... complicated relationship with food.  if wwx feels like he hasn't done well in school, he won't have dinner. if he hasn't finished a project or a paper yet, he won't eat until he's finished.  it's as if he feels like he doesn't /deserve/ to eat.",1
82,"Lenawee Christian vs Suttons Bay High School Football Playoffs Today   Cougars vs Norsemen  LIVE STREAM:  https://t.co/YsTS5XKR4f The Suttons Bay (MI) varsity football team has a neutral playoff game vs  Lenawee Christian (Adrian, MI) on Saturday, today",2
83,@ScottEacott @chriscawsey @ICSEI_DataUse Thanks Scott. I have been looking at school arrangements and leadership  that support student voice/agency. Happy to chat Chris?,0
84,"Before sharing the city’s football fans with the Chargers (twice), the Rams had another crosstown rival:  https://t.co/6gSEz91EZM #LARvsGB #NFLPlayoffs #football",0
85,"United State of America already  provided network of Wi-Fi  for midals and higher schools and college to progress the advance digital networks study,  https://t.co/LdTpIP0u9z",2
86,@ThraxxLife Nigga was dropping em throughout the school lol,2
87,@1989KlSSY @DlORSLWT @iBiteHarry KIDS AT A NYC PUBLIC SCHOOL LOL,2
88,"@jnardo12 You know..other than my Bible and my text book for school this term, i am not reading anything. How about you?",0
89,@BanishedJourno One of the teachers at my high school got fired in the middle of class and another got arrested for having sex with one of her students.,2
90,@casualtydept Dude fuck this whole thread lmao like how pretentious can you be??? It’s basically equivalent to bullying people that you thought were nerds in middle school,0
91,"LIVE  Detroit Country Day vs Williamston | Michigan High School Football | Live Stream  Jan 16, 2021  07:00 PM  Watch Live Here:    https://t.co/KpsaI2iF54  #Michigan High School Football  #highschoolBASKETBALL, #ncaaBASKETBALL",2
92,an all girls school that everyone liked to call “every girl available” 🙂,2
93,@ShanaVWhite I had to explain to a member of our school board that I was only paid in the summer because I had opted to have my pay spread out over 12 months,0
94,@hhendersonphd @DrKenyattaCavil @Dr_CFlowers @jjsampsoniii @SociologistRay How is the requirement to graduate 50% of athletes discriminatory?  The rule is the same for all schools.,0
95,School in Hull: We’re sorry for sending pupils a sweary owl School in Cornwall: Hold our f***ing beer   https://t.co/L8tP0aRyAo,2
96,Omg sorry 😭😭😭 I’ve been kind of busy with school and I never know what to say 😩 anyways EVEN IF WE DONT TALK AS MUCH ANYMORE I STILL LOVE YOUUUUU ❤️❤️❤️❤️ surprised you even followed me 🤡,0
97,i just know that i’m going to have breakdown tomorrow over how many things i have to do for school until monday... i already know it. anyways good night,1
98,"@Patriot89432220 @chillibeanboy @Timodc Mhmmm. I hope you... A public school teacher... keep your racist, anti-American hate to yourself and arent bringing your toxic thoughts and beleifs to the youth you are responsible for educating.",0
99,"@flutterbat333 @faefolkslore you’re not understanding. you may not have wanted to influence people to restrict, but you DID. that’s the problem. you made diets with very low intakes with comfort characters, which made people WANT to do them. this results is people starving themselves. what are u missing??",0
100,So are all DB’s high school receivers  who literally have bricks for hands? Or is it just the Rams defensive backs??,2
101,#schoolsafety | OKIB Cultural Immersion School ready to reopen with added COVID-19 safety measures – Okanagan  https://t.co/QLZqXR72PA,2
102,@TraderJuan3 @Narfy83 @mwood1126 @JaneofVictory @ZanieTanner @dar_br123 @thestevenwoods @clay_mcch I dropped out of high school due to severe bullying and ended up with a really good first job. I worked long term for only 2 companies in my life with promotions in both along the way. I simply got very lucky with that first chance I was given. Not everyone is that lucky.,0
103,#schoolsafety | OKIB Cultural Immersion School ready to reopen with added COVID-19 safety measures – Okanagan  https://t.co/gpOkUgFBB8,2
104,@TylerIvens I had a ‘90 F-150 in high school. Cruising around town getting 12 miles to the gallon of gas.,0
105,@gay81280250 damnnnn for me after a while of online school i wake up at 7:00 naturally or in holidays it switches to 8:00 but as soon as i have one irl day of school its 6:00 again,0
106,... several active shooter trainings each year they were in school. These women were trained for events such as these.   There is a scene in all great plays where the script is flipped and a change happens. It’s time to flip the script....,0
107,"@youlooklikeamom @xofrcc I had a decent one in high school,was a ton of fun looking through it. Should see if it's still in storage.",0
108,They really do teach a lot of useless nonsense in school in comparison to things they could teach to help kids be higher functioning adults,0
109,@yamiitamy GUDUTUG IS THERE A CHANCE THAT ITS PEPSI ?!?!!,2
110,@JoshuaSGoodman And I've learned that school in normal times is very different from hybrid school in pandemic times. It's no longer fun.,2
111,"@BillieRuben1 @jc09tacoma @traependergrast @emilymicheleL @IMPACT4HC Most schools have been open outside Chicago area.  Our school has been going 5 days a week in person since August, with one 2 week at home learning.  Our restaurants and bars have been open since August too.  There is another world outside Chicago and it's really good",0
112,the pfp                             the owner  https://t.co/c23whfy2Kw,2
113,to vendo high school musical 2  e chego Naquela cena de tensao sxual  chamada i dont dance,2
114,@JFerg1302 Some very helpful tips from a primary school teacher for parents who are homeschooling or teachers who are remote teaching during this lockdown! 💻📝📚 Please feel free to RT and subscribe!  https://t.co/7LjMN1qTPP… #homelearning,0
115,"@JoshuaConkel Minimum wage is not to support a person. I have hired hundreds of high school employees, NONE were supporting themselves.",0
116,"@justky1018 Yup !! Was done with high school!! Already got a year and half working, framing in phx,just bought my first car!!! Rock concerts in Tucson, Vegas, Phoenix, Los Angeles!! It was a freaking blast!!!!",0
117,"David gave me his Chalk Talk 7"" because he knows I love them so I told a story about seeing them in high school and now I'm just sad thinking about concerts",0
118,"Manipur Cabinet approves reopening of schools and colleges from January 27  https://t.co/67hNrwhSic Source: ""The New Indian Express"" via Dailyhunt  Download Now  https://t.co/AxZn053aCC",2
119,"@cjsnowdon @MichaelYeadon3 S.W.E.D.E.N. Lower deaths than UK, open schools, better economic performance in 2020, better forecast for 2021 and 2022, no loss of freedoms. Snowjob is obviously bought and paid for by the establishment to keep you locked down, poor and dying.",2
120,@kirkacevedo @joncoopertweets Wear body armor to attend school?,2
121,"The Stampede, the one guy who got thrown through a window and when one science teacher got caught cheating on his wife who was also a science teacher in the same school by students who found a dating site on his computer. Listed in order of how big they were.",2
122,"@ck1984ishere @LaymansScience @braidedmanga @BottomleyFiona @GrumpyOldDoc @Welltakenfree @DwinnersCovi @infotagion @LogicallyAI @Lyric_Jain @DamianCollins @charleskriel @OldMackIsBack @jneill @MrsSarahMurray @JimTimberthing @TakethatCt @hartl73516271 To reach the all cause deaths figures, they add up all the deaths  If a school class has 1 female teacher 15 female pupils &amp; 15 male pupils  How many females are there? How many males are there? How many teachers are there? How many pupils are there? &amp;  How many people are there?",2
123,Sometimes you just need to enjoy the fresh snow in your PJs. 😊 @RobinDrummond  https://t.co/NoLOENAqkQ,2
124,Leave my high school dating years out of this ...,2
125,I’m old school I remember when Medusa was pretty !,0
126,"The most dangerous leadership myth is that leaders are born-that there is a genetic factor to leadership. That's nonsense; in fact, the opposite is true. Leaders are made rather than born. -Warren Bennis #tradehomedad #businessskills #eucharist",0
127,"@snelgrove_mike @Saints @SolesBySir You should have tried ""to"" pay attention in school because ""your"" comment shows ""you're"" not only ignorant, but classless ""too"".",2
128,"@AshyMalik @Lonnnie_ For my entire life, I’ve wondered how some of the most rude and inconsiderate women I’ve met go on to become teachers and nurses... I’ve even posted about it on Fb as an angsty high school graduate. 💀   Thanks for validating my thoughts. 😂",0
129,@Knuffel_Juf Je kunt eventueel ook particulier thuisonderwijs aanbieden. Dus niet op school maar bij mensen thuis. Het lijkt mij erg interessant en nuttig om te doen.,2
130,Oh lord  https://t.co/L0Ro4wsfD4,2
131,"4 bedroom luxury pool villa for rent near British International school, Phuket Thailand: A perfect family 4 bedroom villa for rent or for Sale near The British International School in Koh Kaew, Phuket a sizable and convenient 4 bedroom house, a 5-minute…  https://t.co/GTLXeyA6Ov  https://t.co/sDxFO93JgJ",2
132,i like studying but i also feel pretty lonely when i'm at school so idk,1
133,"Folks, this is Twitter. Not high school.  If you disagree with someone, that's fine. Don't bring your whole clique of friends into the equation &amp; 'cancel' a user because of the most minor of misunderstandings. This goes for SessRinners &amp; Antis. I'm uninterested in drama or ""tea.""",0
134,school shooting threat and a gang violin,2
135,@collumbo Some very helpful tips from a primary school teacher for parents who are homeschooling or teachers who are remote teaching during this lockdown! 💻📝📚 Please feel free to RT and subscribe!  https://t.co/7LjMN1qTPP… #homelearning,0
136,"Thinking about the time in secondary school when some girl said ‘You used to be so handsome, what happened’ with no hesitation whatsoever",2
137,"Didn't realize the Cast of High School Musical, the musical:the series had become such a big thing.",0
138,@stroriginalz Ya mas por exemplo 2003 ainda é old school ? Ahahhah,2
139,You’ve been writing essays on him for the past hour. I think you might be a little obsessed. Or idk getting high off all this attention. Seems like you don’t get much irl.,0
140,@coachaw09 Great day to be a Blue Devil!,2
141,"@metalbutty It was the OH that persuaded me to join Twitter, I wasn't interested at first.  I've always been a constant since joining, but not necessarily with the same account (Multi-Acc user before fashionable).  Couldn't get away with old school shit now, I'd get binned in a heartbeat. 😂",0
142,"So let me get this straight.   I see people saying Horimiya is different from the other Rom Coms but a read through the manga says otherwise.  I want someone to tell me what's so different. Not saying it's bad, just feels like another school Rom Com where MCs don't commit fully.",0
143,fuck what y’all talking a Mac is not a computer to use for school idc,2
144,"Lenawee Christian vs Suttons Bay High School Football Playoffs Today 2021 Cougars vs Norsemen  LIVE STREAM:  https://t.co/YsTS5XKR4f The Suttons Bay (MI) varsity football team has a neutral playoff game vs. Lenawee Christian   on Saturday, today",2
145,who the fuck is fitz,2
146,@Viosmic Ew i fucking hate arby,2
147,"This was Max Holloway Boxing School, and he has a PhD:",2
148,@marilynmanson &amp; @PLACEBOWORLD their music saved me during my school days as a queer gay teenager &amp; I am forever thankful. music it helps us through all sorts of situations. 🤍🖤 #90sbaby,0
149,"@JoshKCali @EmmanuelGolloh @Nate_Leg3nd @ItsMrZ2UNIGA @DecaturDane I’ve learned everything i know about carpentry and concrete on the job, no use to pay for a trade school if i can get paid to get certified",0
150,@ellie_oops 3. In schools we try to help them see the good in their child and give positive messages. It is desperately sad to see how grateful they are not to be judged and to have someone saying positive things about their child.,0
151,"@Sinmiaraoye Finally, don't sweat NCLEX. The exam is not as bad as the hype suggests. It's your victory lap after making it through years of the rigor nursing school, and remember that it's a hoop to jump though and nothing more. Good luck! 3/",0
152,"@john_f_leonard Little rebel having a crafty fag while at school, anarchy in the UK mate 😉",2
153,@davedavies35 Same thing mun 🤨Welsh school u tit🤣🤣,2
154,@hippo_bakakaba 漬物にしよか？笑,2
155,Twitter’s like high school sometimes. I saw a sportswriter reply to Phoebe Bridgers on here and it felt like seeing a jock talk to an art kid about one of their pieces,0
156,@adamhousley A lot of Wisconsin schools are still shut down for all of this bullshit as well. Don’t give Wisconsin any credit that it doesn’t deserve.,2
157,*trending sorry💀,2
158,@PalaciosBarba Wey es neta jajaja pa que veas con lo que sale mi school.,2
159,Flop warning was called. Maybe someday we can get it called in high school. That’s all.,2
160,"@froggy_private dont burn urself out, okay? you still need sleep, school, social interaction, and time to yourself",0
161,"Lenawee Christian vs Suttons Bay High School Football Playoffs Today 2021 Cougars vs Norsemen  LIVE STREAM:  https://t.co/YsTS5XKR4f The Suttons Bay (MI) varsity football team has a neutral playoff game vs Lenawee Christian (Adrian, MI) on Saturday, today",2
162,Steel beams don’t melt without controlled demolition! Kill people! Burn shit! Fuck school! My dad said most the troops are all stationed in Japan!,1
163,last night my mom was telling us stories about when her and my dad were younger and she said HE WOULD MAKE HER SKIP SCHOOL WITH HIM IF HE DIDNT LIKE WHAT SHE HAD ON???? WTF 😭,2
164,@LittleMissJai Some very helpful tips from a primary school teacher for parents who are homeschooling or teachers who are remote teaching during this lockdown! 💻📝📚 Please feel free to RT and subscribe!  https://t.co/7LjMN1qTPP… #homelearning,2
165,"Was This Too Horny? Well, Too Bad",2
166,Let’s GOOOOOO!!!!  https://t.co/fkg3cpahEP,2
167,"@Nadine_Morgan Insane! I still feel like I'm 18! Chatting with @benellismma the other day &amp; couldn't believe it's 10 years since school. Imagine a reunion! Would be good to see you again. Been way, way too long. You need to meet Sarah and now the little one!",0
168,Lmaoo not one of my middle school bullies trying to hook up,0
169,"@varsha_venkat_ high school juniors should never need to work at all, they need to be studying and developing the self through socializing/extracurriculars",0
170,'Chartwells provide school meals so grotty even Nigella couldn't talk them up'  https://t.co/OhLEDAhXnJ  https://t.co/2HECwjfy2h,2
171,"LIVE  TBA vs St. Francis | Michigan High School Football | Live Stream  Jan 16, 2021  07:00 PM  Watch Live Here:    https://t.co/qb1Z7yW84p  #Michigan High School Football  #highschoolBASKETBALL, #ncaaBASKETBALL",2
172,I just Bought BC School Covid Tracker  a Coffee on Ko-fi! ❤️  https://t.co/yMrdadBsk7,2
173,"Do teens in some places really hang out in like cafes or restaurants? We hung out either in school at a a club or at someone's house. Even if you had money to go places, you sure as heck wouldn't see anyone from school there. Or slim chance you would.",0
174,“Why are a black women dying during childbirth? One major factor is the lack of diversity in our school curriculums. Healthcare students are not taught what medical conditions look like on darker skin tones. If we want to make a change it starts there.” #healthcareincolour,2
175,@bunnyyinnit - standing up for myself - being good at school without trying  - talking to my teachers,0
176,@EndzoneAdams yo you wanna join packers gc,2
177,@laurenboebert This woman could have benefited from a high school education. Her GED didn’t cut it.,2
178,NC Should Listen To What’s Happening In Europe Concerning Schools and COVID-19  https://t.co/V9wQag9IBW,2
179,@michaellautman @michaelmalice We had one of the best school systems prior to the introduction of the Dept of ED. Teachers unions halve also contributed to the destruction of our system.,0
180,"@girlof1Khaiku fanfiction was what got me back to reading after high school ruined the experience for me forcing me to read ""the classics""",0
181,"@DontHateTrav If the argument is that kids shouldn’t take out loans for college that they can’t afford, then yes. High schools need AT LEAST $15 an hour to save for college.   And I guarantee that’s still not enough.",2
182,"( she blinks in realization )    I thought she was from the school! i feel kinda dumb now- But, tell her not to overwork herself anyway",0
183,"Man. I dunno what it was. But going (sometimes sneaking) into my School’s Piano room and sitting in there for hours had an atmosphere and a level of I dunno..focus? That allowed me to just go in and practice, even if I didn’t learn too much that I’m trying to replicate at home—",0
184,I know high school drug dealers who made a grand a week,2
185,ung binibigay na nga sayo ung pera ng school pero gusto ng nanay mo kasi siya nag paaral sayo:&lt; every month mag babayad ka pa ng rent :&lt;,2
186,@clay_mcch Jobs that take schools and degrees should be raised as well then. Cost of living is also different in areas. What may be good here may not be there. Rent in NYC alone is way different than in Florida. This won't help all just some.,0
187,I’m cool w looking younger but can old men stop asking me what high school I go to,2
188,@NinaModaffari Once I stayed after school to help clean paint brushes everybody left out dirty and my reward was my art teacher telling me I was  “kinda slow”🙃,0
189,@clockoutwars @JoeBiden Our school district is back full time.  That’s a local issue... let the president focus on national issues and use your voice at the local level to get done what needs to be done.,2
190,@danielmarven Detention after school  https://t.co/siyuGt0g5o,2
191,my high school took less time firing the chef of our culinary course for referring to a student with a curse word than expelling a student projected to be valedictorian who repeatedly sexually harassed girls since the 8th grade,0
192,@NansenSchool @topmarksed Some very helpful tips from a primary school teacher for parents who are homeschooling or teachers who are remote teaching during this lockdown! 💻📝📚 Please feel free to RT and subscribe!  https://t.co/7LjMN1qTPP… #homelearning,2
193,@hippo_bakakaba @pei_business @kyohei_1111 あんたらは一勝一敗やで🙄,2
194,@formallydynamic @elonmusk @MrBeastYT Old school,2
195,I slept kind of content I can’t live without her thesis year at grad school to be described as an intellectual enjoys youtube,0
196,@kellierowe A PowerPoint that includes “synergy” &amp; “upward mobility”? Sounds like every worthless business-school class ever.,2
197,can i get my grades up if i do well at procrastinating  #school #college,0
198,"@leinmarjob Het is geen school, Lein! Djeez relax. Roll’on. Peen in whatever.",2
199,Not me wading in but 1) why yuck on someone else’s yum if no one is being harmed 2) when I was teaching middle school I found fanfic was a great way to get students who weren’t yet engaged genuinely inspired to write 3) life is short why be snobby on a microblogging platform 🤷‍♀️,0
200,@JoJoFromJerz Two kids broadcasting the morning notes in a Jr. High School are more of a news organization than fox.,0
201,i don't want to sleep but it's 1am and i have school tmrw and i have a headache,1
202,@wildcats_wbb @Newark_Schools @NewarkWildcats  https://t.co/ytzBzuDCZX,2
203,"@LuhaWitch @SadeOfficial Sade doesn't have a lot of work these days. No need to ask, she's a school operator.",0
204,Laat alsjeblieft de basisscholen open gaan en dan vooral het speciaal onderwijs. Het is gewoon mishandeling als zij niet naar school kunnen.,2
205,That teacher Who Always made You Feel like Dropping out of School 🏫,2
206,@Dantheflash1 @PaulSteveSamuel When was the last time somebody wandered into a school with a hammer and killed 50 people?,2
207,@DontHateTrav High school juniors shouldn't need jobs.,0
208,"He's right. But it is extremely hypocritical when he is currently keeping schools closed in his own, highly developed country with some of the highest education standards in the world and depriving kids of their full education + livelihood. Talk about leading by example?",2
209,@tendoodle ELIAS YES,2
210,@SportsCenter @NFL Casual brothers woke up Feeling dangerous😈   AD.       0-Sacks😂 0-Tackles💀 1-hall of fame school Threat Badge😈 2 full Quarters played😬  Ramsey😠 0-Tackles😴 0-pick💀 1-allowed TD😂 50 yards allowed😐 1-blaming Teammates😠 2 full Quarters played💀,2
211,This reminds me of the time I made two batches of cupcakes at school.. one had laxative in it for the people that didn’t really like me but wanted a cupcake 😊,2
212,@JoWarner01 Some very helpful tips from a primary school teacher for parents who are homeschooling or teachers who are remote teaching during this lockdown! 💻📝📚 Please feel free to RT and subscribe!  https://t.co/7LjMN1qTPP… #homelearning,2
213,BRO maths was my favourite subject since early primary school - top class student.. a white male teacher for my leaving cert era targeted me so much and tried to push me to go to pass that it became one of my worst subjects.. its only God I passed Higher level for my LC #BIWTalks,0
214,"Lenawee Christian vs Suttons Bay High School   Cougars vs Norsemen  LIVE STREAM:  https://t.co/YsTS5XKR4f The Suttons Bay (MI) varsity football team has a neutral playoff game vs. Lenawee Christian (Adrian, MI) on Saturday, today",2
